NAME                                                READY   STATUS    RESTARTS        AGE   IP             NODE                             NOMINATED NODE   READINESS GATES
eurotransit-kafka-dual-role-2                       0/1     Completed           0               61m     10.244.1.129   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-2                       0/1     Pending             0               0s      <none>         <none>                           <none>           <none>
eurotransit-kafka-dual-role-2                       0/1     Pending             0               0s      <none>         <none>                           <none>           <none>
eurotransit-inventory-6f94ffd594-d4z7r              0/1     Pending             0               7m38s   <none>         <none>                           <none>           <none>
eurotransit-inventory-6f94ffd594-d4z7r              0/1     Terminating         0               7m42s   <none>         <none>                           <none>           <none>
eurotransit-inventory-6f94ffd594-d4z7r              0/1     Terminating         0               7m42s   <none>         <none>                           <none>           <none>
eurotransit-kafka-dual-role-2                       0/1     Pending             0               2m7s    <none>         <none>                           <none>           <none>
eurotransit-kafka-dual-role-2                       0/1     Pending             0               2m7s    <none>         aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-2                       0/1     ContainerCreating   0               2m7s    <none>         aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-2                       0/1     Running             0               2m8s    10.244.1.114   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-2                       1/1     Running             0               2m49s   10.244.1.114   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-inventory-6f94ffd594-7l9zl              1/1     Terminating         0               12m     10.244.2.121   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-inventory-6f94ffd594-7l9zl              1/1     Terminating         0               12m     10.244.2.121   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-inventory-6f94ffd594-7l9zl              0/1     Error               0               12m     10.244.2.121   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-inventory-6f94ffd594-7l9zl              0/1     Error               0               12m     10.244.2.121   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-inventory-6f94ffd594-7l9zl              0/1     Error               0               12m     10.244.2.121   aks-sysb2s-33819783-vmss00000r   <none>           <none>
